Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Base7_TestSuite1,Chrome 69.0.3497.100,,2018-10-23 21:44:02,2018-10-23 21:45:15,1m - 12.556s,PASSED
,,,,,,
Test Cases/Base7_Login_Calender,Chrome 69.0.3497.100,,2018-10-23 21:44:05,2018-10-23 21:44:47,42.642s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-23 21:44:05,2018-10-23 21:44:42,37.030s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-23 21:44:42,2018-10-23 21:44:46,3.879s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 21:44:46,2018-10-23 21:44:47,0.447s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 21:44:47,2018-10-23 21:44:47,0.443s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 21:44:47,2018-10-23 21:44:47,0.311s,PASSED
,,,,,,
Test Cases/Base7_Reservations,Chrome 69.0.3497.100,,2018-10-23 21:44:47,2018-10-23 21:45:01,13.840s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-23 21:44:48,2018-10-23 21:44:57,8.982s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 21:44:57,2018-10-23 21:45:00,3.166s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 21:45:00,2018-10-23 21:45:01,1.492s,PASSED
,,,,,,
Test Cases/Base7_Settings,Chrome 69.0.3497.100,,2018-10-23 21:45:01,2018-10-23 21:45:14,12.723s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-23 21:45:01,2018-10-23 21:45:10,8.601s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 21:45:10,2018-10-23 21:45:13,2.526s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 21:45:13,2018-10-23 21:45:13,0.509s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 21:45:13,2018-10-23 21:45:14,0.876s,PASSED
